CardID,CustID,Title,Country,Address,PostalCode,City,Mail,BirthDate,ValidityDate
79903631099,1.64803E+12,Male,United States,"Postfach 171, 169 Facilisis  Av.",42489,Birmingham,Praesent.eu@Utsemper.ca,02.09.1951,20.08.2013
28342384899,1.66111E+12,Male,United Kingdom,"Postfach 467, 5967 Taciti  St.",D7 2SS,Cumbernauld,eu.turpis.Nulla@aliquameros.ca,01.07.1954,13.09.2014
44311294199,1.69108E+12,Comp.,Germany,696-3779 Eget St.,55502,Wolfenbüttel,erat.neque@felisorci.org,06.02.1994,09.01.2015
44777928599,1.65201E+12,Female,United Kingdom,Ap #512-4553 Interdum  Avenue,P37 2SD,Wick,ipsum.leo.elementum@temporarcu.org,30.10.1991,10.10.2014
9502970899,1.68912E+12,Comp.,United States,"Postfach 537, 6807 Tincidunt  Avenue",73635,Cedar Rapids,a@velit.ca,02.09.1951,05.07.2013
51316220799,1.65002E+12,Female,United Kingdom,Ap #132-9245 Proin  Ave,U4R 6LN,Evesham,mauris@risusatfringilla.com,28.12.1962,15.11.2014
26496615699,1.68504E+12,Female,United States,Ap #182-1796 Scelerisque  Rd.,56558,San Francisco,vel.convallis.in@aptenttaciti.edu,01.09.1979,25.03.2013
48437596099,1.6141E+12,Female,United Kingdom,5140 Integer St.,XM65 5RY,Swadlincote,montes@malesuada.co.uk,13.08.1976,14.07.2016
26506134899,1.62905E+12,Comp.,Germany,"Postfach 914, 3161 Aliquet  Straße",85390,Berlin,est.Mauris@urnaNunc.co.uk,11.05.1970,22.10.2014
16961933299,1.69804E+12,Female,Germany,"Postfach 965, 3738 Rhoncus.  Rd.",16175,Waren,hendrerit.a@facilisisnon.ca,13.09.1988,28.07.2016
49492115699,1.64708E+12,Male,United Kingdom,"Postfach 633, 8936 Porttitor  Rd.",U3W 9BK,Fraserburgh,mollis.lectus.pede@pedeet.edu,09.12.1963,07.12.2015
98553018699,1.64407E+12,Female,United States,"519-2005 Sem,  Avenue",14554,Casper,urna.et.arcu@idmollis.org,05.07.1958,11.11.2015
96338712999,1.67101E+12,Female,Germany,215-8799 In  Avenue,6827,Limbach-Oberfrohna,risus.Nunc@egestaslacinia.edu,06.07.1980,16.08.2015
91902775799,1.66301E+12,Comp.,United States,Ap #568-9171 Fusce  Av.,42846,Essex,nulla.Integer@etultrices.org,06.07.1942,15.01.2014
94365889499,1.68307E+12,Comp.,United Kingdom,Ap #364-9799 Tristique  St.,R9S 4XC,Scunthorpe,lacus.Ut.nec@ornareplaceratorci.net,22.12.1991,01.12.2015
85973721499,1.69602E+12,Female,United States,303-5547 Congue St.,31779,Cambridge,rutrum.justo@adipiscing.net,01.08.1949,25.07.2014
65801188599,1.66111E+12,Male,United Kingdom,"Postfach 467, 5967 Taciti  St.",D7 2SS,Cumbernauld,eu.turpis.Nulla@aliquameros.ca,01.07.1954,13.09.2014
78728477699,1.61706E+12,Female,Germany,"Postfach 255, 791 Massa  Ave",54758,Osnabrück,nec@convallisin.co.uk,26.12.1961,19.12.2014
6871626099,1.68505E+12,Comp.,United Kingdom,673-288 Facilisis  Rd.,RF9Q 7PF,Guildford,accumsan.laoreet.ipsum@lectus.net,13.11.1949,01.02.2014
91589091699,1.67304E+12,Female,Germany,498-156 Vel  Av.,96248,Hamburg,litora.torquent.per@lacinia.org,15.01.1986,11.08.2014
88367561299,1.67304E+12,Comp.,United Kingdom,Ap #160-9882 Massa.  St.,TV4 9UQ,Lancaster,malesuada.Integer@in.ca,21.03.1946,19.03.2014
25646559499,1.67904E+12,Male,United Kingdom,7862 Amet  Av.,GX7 1DS,Annan,ante@nonegestasa.com,13.07.1948,10.05.2014
66427326499,1.64505E+12,Female,United Kingdom,Ap #156-3368 Eu  Rd.,S62 8EE,Durness,leo.in@veliteget.co.uk,14.01.1945,25.03.2014
92644824299,1.6751E+12,Male,United Kingdom,"Ap #422-1952 Pede, St.",Q0 8PB,Tregaron,ipsum.dolor.sit@Aliquamnecenim.co.uk,27.08.1970,13.03.2013
72449987899,1.67904E+12,Male,United Kingdom,7862 Amet  Av.,GX7 1DS,Annan,ante@nonegestasa.com,13.07.1948,10.05.2014
69235107099,1.63608E+12,Female,United States,"Postfach 424, 7507 Molestie.  Rd.",56976,Sandy,blandit@tellus.edu,29.07.1966,19.08.2013
38483897399,1.62702E+12,Comp.,United Kingdom,1300 Quis  Av.,U1 0SR,Haddington,aliquet.lobortis.nisi@risusDonec.ca,10.10.1972,19.04.2015
55827754899,1.60401E+12,Comp.,United Kingdom,"491 Non,  Straße",I24 5VH,Neath,vulputate.nisi@vel.ca,20.05.1986,12.02.2016
32800870099,1.65009E+12,Female,United Kingdom,170-5556 Per  Avenue,I8P 9JV,Henley-on-Thames,netus@molestie.ca,16.01.1991,08.07.2016
11216669699,1.69604E+12,Female,United States,"6136 Ut,  Straße",42388,Fort Worth,Etiam@metusurna.edu,02.04.1944,14.10.2015
62999140399,1.65804E+12,Male,United States,Ap #425-4688 Risus.  Rd.,43100,Spokane,Donec.vitae@ullamcorperDuiscursus.com,01.11.1949,24.07.2013
1486109099,1.63104E+12,Female,United States,9002 Lacinia  Rd.,32293,Gulfport,morbi@tinciduntDonecvitae.edu,02.07.1978,18.01.2016
82364801499,1.6141E+12,Female,United Kingdom,Ap #731-1863 Donec  Straße,U0 5MQ,Manchester,Integer@tortorNunc.edu,26.12.2001,21.07.2013
6233952299,1.65212E+12,Female,United Kingdom,"259-246 Pede, St.",Z1T 1GA,Ludlow,Donec@esttemporbibendum.org,06.07.1943,22.12.2013
44317763699,1.60504E+12,Male,United States,Ap #815-184 Sem  Straße,58575,Springfield,nunc.In.at@nec.co.uk,17.08.1968,22.01.2013
76954778599,1.65307E+12,Female,Germany,Ap #988-1953 Habitant  St.,93877,Bremen,Duis.cursus@in.com,29.11.1990,05.04.2016
66736159399,1.67205E+12,Comp.,United Kingdom,"2803 Scelerisque, St.",YZ7V 7UW,Caerphilly,dictum@sociisnatoquepenatibus.co.uk,24.08.1967,17.07.2013
30624301299,1.62508E+12,Male,United Kingdom,Ap #889-2603 Magna St.,J36 2NJ,Kendal,justo.Proin.non@Donecfelisorci.edu,30.04.1999,10.07.2013
8694598599,1.66908E+12,Female,United Kingdom,"Postfach 982, 5961 Gravida  Rd.",KJ4 2LH,Denbigh,Mauris@interdum.ca,22.12.1974,30.03.2016
59681386599,1.60106E+12,Female,United States,"Ap #632-5741 Dolor,  Rd.",48803,Mesa,at.iaculis.quis@feugiat.edu,08.12.1997,07.10.2015
22976009399,1.64907E+12,Female,United States,"Postfach 987, 6402 Posuere,  Avenue",98829,Auburn,Quisque.tincidunt.pede@et.com,25.07.1978,17.10.2014
19302247699,1.62609E+12,Female,United States,"4656 Eget,  Av.",79053,Overland Park,ac.mattis@loremauctor.ca,11.07.1968,19.07.2015
25929476999,1.63607E+12,Comp.,Germany,Ap #875-904 Dolor.  Straße,69459,Potsdam,id.magna.et@Cumsociisnatoque.ca,19.05.1976,10.06.2015
97820077399,1.65812E+12,Male,United Kingdom,"Ap #163-5325 Lorem,  Straße",W2 7FS,Dingwall,Pellentesque.ultricies.dignissim@odio.co.uk,23.09.1973,14.09.2015
66812863699,1.6251E+12,Comp.,United Kingdom,"302-3420 Magna,  Rd.",G5 9VX,Banchory,ultrices.mauris@vitaevelitegestas.co.uk,30.01.2001,08.01.2016
